month,days,idx_fut,stk_fut,idxopt_prem,idxopt_notional,stkopt_prem,stkopt_notional
2022-04,19.0,2.92604,0.0,,2885521.98843525,,0.0
2022-05,21.0,7.3859545,0.0,,290689.57222925,,0.0
2022-06,22.0,7.5935975,0.0,,4267512.8307865,,0.0
2022-07,21.0,5.40078175,0.0,,4972337.2163015,,0.0
2022-08,20.0,3.22757125,0.0,,4518986.8629545,,0.0
2022-09,22.0,7.177035,0.0,,4732249.0,,0.0
2022-10,19.0,3.006216,0.0,,3754347.1,,0.0
2022-11,21.0,2.895594,0.0,,4350091.0,,0.0
2022-12,22.0,6.4540325,0.0,,4088408.1149186995,,0.04935
2023-01,21.0,4.8302945,0.0,,199736.17174175,,0.0
2023-02,20.0,3.7383025,0.0,,140342.68244775,,0.0
2023-03,21.0,4.06750425,0.0,,115030.46245875,,0.0
2023-04,5.0,0.37565,0.0,0.004375,0.749375,0.0,0.0
2023-05,19.0,258.22933175,0.0,28.114873125000003,21932.086073125,0.0,0.0
2023-06,21.0,770.8637086,0.0,1563.19846355,2095477.5061135502,0.0,0.0
2023-07,21.0,1029.487426475,0.0,6336.6162681000005,9150095.2822681,0.0,0.0
2023-08,22.0,1166.6175724,0.0,13559.102101275,23223197.807151273,0.0,0.0
2023-09,20.0,1218.9484127,0.0,28514.946232649996,52848763.27978272,0.0,0.0
2023-10,20.0,1136.502568075,0.0,37054.094478175,65658568.84682809,0.0,0.0
2023-11,21.0,1044.71304355,0.0,37910.104980100004,73903578.04463005,0.0,0.0
2023-12,20.0,3098.1596797,0.0,80627.178861375,142279016.14841133,0.0,0.0
2024-01,22.0,3235.521159975,0.0,80771.628385325,126441230.9690854,0.0,0.0
2024-02,21.0,4345.277848575,0.0,108277.658751975,155251410.51190197,0.0,0.0
2024-03,19.0,2942.442577625,0.09417,98017.937662125,151941865.79886213,0.0,0.0
2024-04,20.0,3336.667042625,0.0,117387.36263317501,169495298.39073318,0.0,0.0
2024-05,22.0,2552.1349277,0.0,158860.548560525,219739641.61146,0.0,0.0
2024-06,19.0,2723.813848975,0.0,160615.40933227498,206372987.07268226,0.00055,0.09405
2024-07,22.0,4923.47858715,316.13313826,164434.39843480004,254256601.42918497,0.32790862499999995,35.599758625
2024-08,21.0,4491.768724325,100.697052225,160009.70697145,260304528.33982146,1.44314075,106.95421575
2024-09,21.0,5774.590017675,63.02157275,200574.1099439,301473963.8180939,1.0598885,102.4512135
2024-10,22.0,3914.67991885,30.649649,198841.565554375,264258397.71755445,2.62289875,136.16702375
2024-11,19.0,3439.98,33.5,156167.78932422498,203062136.85257426,0.36045625000000003,39.27369375
2024-12,21.0,4663.955668925,20.085381875,188009.800225325,181216153.41677535,0.80838325,77.42613324999999
2025-01,23.0,5777.4805356,47.739127,265242.254121,244807431.13417107,3.494190625,210.377915625
2025-02,20.0,4976.0433919,56.014725375,229072.22079315,206232607.72079316,3.6570353750000004,500.786510375
2025-03,19.0,4259.57,76.14,236201.2,244379504.51999998,5.605547875000003,1392.199485375
2025-04,19.0,6197.19033255,70.96851475,294104.12948055,263330150.87308055,0.990631375,170.73488137500001
2025-05,21.0,7719.57844085,291.989491,333686.10546595,266889707.78646594,0.175892,14.274617
2025-06,21.0,9400.7398763,109.90618075,292319.29377715,268977755.5335773,0.1177955,9.912549
2025-07,23.0,5676.9429929,70.920085625,287449.0431105,348810252.6036105,0.18647625,10.61298875
2025-08,19.0,4759.62098335,79.401040625,326613.10251575,337583539.80461574,0.02,4.25
2025-09,22.0,5154.25356735,56.310674625,346223.49244775,365181136.8361478,0.551495125,37.201882624999996
2025-10,21.0,5545.8537304,54.35262725,430427.19666595,464125109.097016,0.14359275,10.45454775
2025-11,19.0,5748.9935566,64.38680275,363132.05799440003,396389585.27909446,0.23144207500000002,13.720482475
2025-12,22.0,4974.6931066,47.684892375,412902.32867565,441443920.0668757,0.42883898,35.71118998
2026-01,20.0,6485.5562049,5.60751825,575377.7481009,573163967.5263009,0.07348774999999999,3.6910327499999998
2026-02,21.0,7234.01995065,4.513614625,532063.4445584,469340679.3815834,0.33291127000000004,13.65041977
2026-03,19.0,14754.27246435,17.11674225,627802.96520595,427461511.934206,6.26379675,0.11031675
