month,days,idx_fut,stk_fut,idxopt_prem,idxopt_notional,stkopt_prem,stkopt_notional,idx_fut_adt,stk_fut_adt,idxopt_prem_adt,idxopt_notional_adt,stkopt_prem_adt,stkopt_notional_adt,cash_days,cash_turnover,cash_adt
2022-04,19.0,822528.5251,1693263.334,,190998078.61,,4947584.277000001,43290.97500526316,89119.12284210527,,10052530.453157896,,260399.17247368424,19.0,1292242.73,68012.78
2022-05,21.0,902431.49,1648830.45,,211644337.549999,,4432461.43,42972.928095238094,78515.7357142857,,10078301.788095191,,211069.59190476188,21.0,1211220.1,57677.15
2022-06,22.0,849300.12,1474311.36,,236190602.57999998,,4046635.5300000003,38604.55090909091,67014.15272727273,,10735936.48090909,,183937.97863636364,22.0,981366.64,44607.57
2022-07,21.0,735914.81,1563846.68,,222488139.52999902,,4863864.3100000005,35043.56238095238,74468.88952380951,,10594673.310952334,,231612.58619047623,21.0,978641.86,46601.99
2022-08,20.0,743531.56,1639249.06,,260976265.9,,5482195.25,37176.578,81962.45300000001,,13048813.295,,274109.7625,20.0,1159065.02,57953.25
2022-09,22.0,934912.34,1851510.94,,324123224.33000004,,6071313.26,42496.01545454545,84159.58818181818,,14732873.83318182,,275968.78454545455,22.0,1353967.07,61543.96
2022-10,19.0,718960.84,1483115.48,,265244725.819999,,4021386.62,37840.044210526314,78058.70947368421,,13960248.72736837,,211651.92736842105,19.0,912411.01,48021.63
2022-11,21.0,618742.5,1636205.68,,297773138.229999,,5571825.65,29463.928571428572,77914.55619047619,,14179673.249047572,,265325.03095238097,21.0,1201107.75,57195.61
2022-12,22.0,752722.15,1541566.88,,410001832.939999,,5409157.79,34214.64318181818,70071.22181818182,,18636446.951818135,,245870.80863636362,22.0,1160845.65,52765.71
2023-01,21.0,790757.32,1594094.19,,417271035.57999897,,4867172.09,37655.11047619047,75909.24714285714,,19870049.313333284,,231770.0995238095,21.0,1020626.12,48601.24
2023-02,20.0,776179.45,1518191.45,,408975338.589999,,5078814.53,38808.972499999996,75909.5725,,20448766.92949995,,253940.72650000002,20.0,1004996.9,50249.85
2023-03,21.0,874703.62,1428118.87,,488839014.72,,4415333.87,41652.55333333333,68005.66047619047,,23278048.32,,210253.99380952382,21.0,1028582.53,48980.12
2023-04,17.0,487494.753001925,1269872.577346335,847273.0859946881,406010162.8016697,47948.162291739995,3980799.40997084,28676.161941289705,74698.38690272559,49839.593293805185,23882950.753039394,2820.480134808235,234164.6711747553,17.0,879338.62,51725.8
2023-05,22.0,602097.6058012749,1696110.0922792053,1175971.2720948376,546542297.5800453,84227.07247487002,5968495.267908069,27368.07299096704,77095.91328541843,53453.23964067444,24842831.70818388,3828.5032943122733,271295.23945036676,22.0,1321443.78,60065.63
2023-06,21.0,517883.747294525,1670132.8138168452,1006921.598178181,533509814.92687845,91594.12729070001,6493816.81263067,24661.130823548807,79530.13399127834,47948.64753229433,25405229.282232307,4361.625109080953,309229.3720300319,21.0,1309015.59,62334.08
2023-07,21.0,588444.946477025,1996640.65426759,1281330.8983481608,625804877.8325107,114889.915357725,7975112.379399924,28021.187927477382,95078.12639369477,61015.75706419813,29800232.277738605,5470.948350367857,379767.2561619011,21.0,1526431.61,72687.22
2023-08,22.0,610658.11,1972965.6013788348,1165101.2882810258,657695491.1567316,102804.766146445,7326378.909240145,27757.186818181817,89680.25460812886,52959.14946731936,29895249.598033253,4672.9439157475,333017.22314727935,22.0,1684492.83,76567.86
2023-09,20.0,550449.94,2039494.43,1107392.915416,652680844.1,103149.06714815999,7378926.65,27522.496999999996,101974.7215,55369.645770799994,32634042.205000002,5157.453357408,368946.3325,20.0,1670806.7,83540.34
2023-10,20.0,504265.160257675,1894017.5772422298,979948.6837008751,628819364.3149388,84111.22644856501,6519156.404341064,25213.25801288375,94700.8788621115,48997.434185043756,31440968.21574694,4205.561322428251,325957.82021705323,20.0,1343518.95,67175.95
2023-11,21.0,477592.68,1927121.36,885543.1606118351,645234054.509999,92658.27890772,6967743.43,22742.50857142857,91767.68380952382,42168.72193389691,30725431.167142812,4412.2989956057145,331797.30619047617,21.0,1482906.22,70614.58
