month,d,t,post,t_post,cf
2023-04,2.8719025883452414,0,0,0,2.5777798964117906
2023-05,2.6363572117729515,1,0,0,2.5444273903475474
2023-06,2.3988371249838814,2,0,0,2.511074884283304
2023-07,2.416613320373811,3,0,0,2.4777223782190614
2023-08,2.4393020949347655,4,0,0,2.444369872154818
2023-09,2.3990122924552946,5,0,0,2.411017366090575
2023-10,2.4924750804329143,6,0,0,2.377664860026332
2023-11,2.2992018870695663,7,0,0,2.344312353962089
2023-12,1.9885218684881991,8,0,0,2.3109598478978457
2024-01,2.1869160059138757,9,0,0,2.2776073418336025
2024-02,2.2379088044685798,10,0,0,2.2442548357693592
2024-03,2.26969031742272,11,0,0,2.2109023297051165
2024-04,2.0422447139737496,12,0,0,2.1775498236408732
2024-05,2.045890283476332,13,0,0,2.14419731757663
2024-06,2.1524558710380877,14,0,0,2.1108448115123872
2024-07,2.0098712946999413,15,0,0,2.077492305448144
2024-08,2.141294490922931,16,0,0,2.044139799383901
2024-09,2.0370486133580776,17,0,0,2.0107872933196576
2024-10,2.2089956307075003,18,0,0,1.9774347872554145
2024-11,2.2316546891452838,19,1,1,1.9440822811911715
2024-12,2.0918142394777473,20,1,2,1.9107297751269283
2025-01,1.915768893563257,21,1,3,1.877377269062685
2025-02,1.9452637274478253,22,1,4,1.844024762998442
2025-03,2.153940289588112,23,1,5,1.810672256934199
2025-04,2.0977972476451114,24,1,6,1.7773197508699559
2025-05,2.149272020993985,25,1,7,1.7439672448057126
2025-06,2.0568438781714544,26,1,8,1.7106147387414696
2025-07,2.094519701033203,27,1,9,1.6772622326772266
2025-08,2.316181544754471,28,1,10,1.6439097266129834
2025-09,2.2325532451521557,29,1,11,1.6105572205487402
2025-10,2.333852819956844,30,1,12,1.5772047144844972
2025-11,2.334558926362737,31,1,13,1.5438522084202542
2025-12,2.3244440238969872,32,1,14,1.510499702356011
2026-01,2.2839758377371133,33,1,15,1.4771471962917677
2026-02,2.272154454117958,34,1,16,1.4437946902275247
2026-03,2.6610257115476923,35,1,17,1.4104421841632817
