month,rel,coef
2022-04,-30,-0.8334168012724206
2022-05,-29,-0.6344506561736285
2022-06,-28,-0.4171152351932754
2022-07,-27,-0.6566321035122797
2022-08,-26,-0.6216840043940781
2022-09,-25,-0.5097319215065355
2022-10,-24,-0.2986941910436052
2022-11,-23,-0.5086631378330111
2022-12,-22,-0.16378484044392927
2023-01,-21,-0.050073905444374844
2023-02,-20,-0.11285526951424707
2023-03,-19,0.20540970424490368
2023-04,-18,0.12312018602038322
2023-05,-17,0.015381632385039978
2023-06,-16,-0.08922832022835969
2023-07,-15,-0.12454700287558573
2023-08,-14,0.03018616463197432
2023-09,-13,0.05854519853563289
2023-10,-12,0.1666400555131542
2023-11,-11,0.13498599316138815
2023-12,-10,-0.034286075729561105
2024-01,-9,0.08020880549954867
2024-02,-8,0.061300871020938175
2024-03,-7,0.09702111058683549
2024-04,-6,-0.02026170667569538
2024-05,-5,-0.06217030583157346
2024-06,-4,-0.0815198212920869
2024-07,-3,0.00014011618058518138
2024-08,-2,-0.011980547363506844
2024-09,-1,-0.04455046949671093
2024-10,0,0.0
2024-11,1,0.013634745110381985
2024-12,2,-0.43748132412012275
2025-01,3,-0.5133149393567482
2025-02,4,-0.4313163101738873
2025-03,5,-0.1615158549214435
2025-04,6,-0.16121723997488147
2025-05,7,-0.25792750051332547
2025-06,8,-0.28040199611738004
2025-07,9,-0.045716847212146305
2025-08,10,0.023246675081765034
2025-09,11,0.0028695620498506713
2025-10,12,0.16362703648772303
2025-11,13,0.022494976873005612
2025-12,14,0.06980660831017538
2026-01,15,0.08399884766118149
2026-02,16,-0.04234011000286664
2026-03,17,0.159816415945377
